"Drug Name and FDA Appl. #","Suppl. #","Active Ingredients","Company","Approval Type","Approval Date"
"DUAVEE (NDA #022247)","000","BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED","WYETH PHARMS PFIZER","Approval","10/03/2013"
"DUAVEE (NDA #022247)","001","BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED","WYETH PHARMS PFIZER","Approval","10/03/2013"
"LYSTEDA (NDA #022430)","004","TRANEXAMIC ACID","FERRING PHARMS AS","Labeling Revision","10/03/2013"
"TOPOTECAN HYDROCHLORIDE (NDA #022453)","001","TOPOTECAN HYDROCHLORIDE","TEVA PHARMS USA","Manufacturing Change or Addition","10/03/2013"
"KORLYM (NDA #202107)","002","MIFEPRISTONE","CORCEPT THERAP","Manufacturing Change or Addition","10/03/2013"
"POMALYST (NDA #204026)","001","POMALIDOMIDE","CELGENE","Manufacturing Change or Addition","10/03/2013"
"CLINOLIPID 20% (NDA #204508)","000","OLIVE OIL; SOYBEAN OIL","BAXTER HLTHCARE","Approval","10/03/2013"
"NEXIUM (NDA #021153)","047","ESOMEPRAZOLE MAGNESIUM","ASTRAZENECA","Manufacturing Change or Addition","10/04/2013"
"NUVARING (NDA #021187)","021","ETHINYL ESTRADIOL; ETONOGESTREL","ORGANON USA INC","Efficacy Supplement with Clinical Data to Support","10/04/2013"
"NUVARING (NDA #021187)","022","ETHINYL ESTRADIOL; ETONOGESTREL","ORGANON USA INC","Labeling Revision","10/04/2013"
"HEPSERA (NDA #021449)","021","ADEFOVIR DIPIVOXIL","GILEAD","Manufacturing Change or Addition","10/04/2013"
"LEVETIRACETAM IN SODIUM CHLORIDE (NDA #202543)","004","LEVETIRACETAM","HQ SPECIALITY PHARMA","Manufacturing Change or Addition","10/04/2013"
"BC (NDA #204553)","000","SODIUM SULFATE; POTASSIUM SULFATE; MAGNESIUM SULFATE","GATOR PHARMA INC","Tentative Approval","10/04/2013"
"DEPO-MEDROL (NDA #011757)","097","METHYLPREDNISOLONE ACETATE","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","10/07/2013"
"ADAGEN (NDA #019818)","047","PEGADEMASE BOVINE","SIGMA TAU","Manufacturing Change or Addition","10/07/2013"
"ALVESCO (NDA #021658)","007","CICLESONIDE","TAKEDA GMBH","Manufacturing Change or Addition","10/07/2013"
"XALKORI (NDA #202570)","007","CRIZOTINIB","PF PRISM CV","Labeling Revision","10/07/2013"
"XALKORI (NDA #202570)","009","CRIZOTINIB","PF PRISM CV","Labeling Revision","10/07/2013"
"PEDIAPRED (NDA #019157)","020","PREDNISOLONE SODIUM PHOSPHATE","SETON PHARM","Labeling Revision","10/08/2013"
"PAREMYD (NDA #019261)","012","HYDROXYAMPHETAMINE HYDROBROMIDE; TROPICAMIDE","AKORN","Manufacturing Change or Addition","10/08/2013"
"ACTIVELLA (NDA #020907)","013","ESTRADIOL; NORETHINDRONE ACETATE","AMNEAL PHARMS LLC","Labeling Revision","10/08/2013"
"VISUDYNE (NDA #021119)","025","VERTEPORFIN","VALEANT PHARMS INC","Manufacturing Change or Addition","10/08/2013"
"FASLODEX (NDA #021344)","021","FULVESTRANT","ASTRAZENECA","Manufacturing Change or Addition","10/08/2013"
"FASLODEX (NDA #021344)","022","FULVESTRANT","ASTRAZENECA","Manufacturing Change or Addition","10/08/2013"
"OXYCODONE HYDROCHLORIDE (NDA #200535)","007","OXYCODONE HYDROCHLORIDE","LEHIGH VALLEY","Manufacturing Change or Addition","10/08/2013"
"PROCYSBI (NDA #203389)","001","CYSTEAMINE BITARTRATE","RAPTOR PHARMS","Manufacturing Change or Addition","10/08/2013"
"PHENYLEPHRINE HYDROCHLORIDE (NDA #203510)","001","PHENYLEPHRINE HYDROCHLORIDE","PARAGON BIOTECK","Manufacturing Change or Addition","10/08/2013"
"ADEMPAS (NDA #204819)","000","RIOCIGUAT","BAYER HLTHCARE","Approval","10/08/2013"
"MORPHINE SULFATE (NDA #019999)","020","MORPHINE SULFATE","MERIDIAN MEDCL TECHN","Manufacturing Change or Addition","10/09/2013"
"CLIMARA (NDA #020375)","027","ESTRADIOL","BAYER HLTHCARE","Labeling Revision","10/09/2013"
"LOTEMAX (NDA #020583)","027","LOTEPREDNOL ETABONATE","BAUSCH AND LOMB","Manufacturing Change or Addition","10/09/2013"
"ALREX (NDA #020803)","025","LOTEPREDNOL ETABONATE","BAUSCH AND LOMB","Manufacturing Change or Addition","10/09/2013"
"ZYVOX (NDA #021132)","030","LINEZOLID","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","10/09/2013"
"CLIMARA PRO (NDA #021258)","006","ESTRADIOL; LEVONORGESTREL","BAYER HLTHCARE","Labeling Revision","10/09/2013"
"VESICARE (NDA #021518)","016","SOLIFENACIN SUCCINATE","ASTELLAS","Labeling Revision","10/09/2013"
"CLEOCIN PHOSPHATE IN DEXTROSE 5% IN PLASTIC CONTAINER (NDA #050639)","026","CLINDAMYCIN PHOSPHATE","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","10/09/2013"
"ZYLET (NDA #050804)","020","LOTEPREDNOL ETABONATE; TOBRAMYCIN","BAUSCH AND LOMB","Manufacturing Change or Addition","10/09/2013"
"LEVONORGESTREL AND ETHINYL ESTRADIOL (ANDA #200245)","000","ETHINYL ESTRADIOL; LEVONORGESTREL","FAMY CARE LTD","Approval","10/09/2013"
"VANCOMYCIN HYDROCHLORIDE (ANDA #202464)","000","VANCOMYCIN HYDROCHLORIDE","EMCURE PHARMS LTD","Approval","10/09/2013"
"TINIDAZOLE (ANDA #202489)","000","TINIDAZOLE","UNIQUE PHARM LABS","Labeling Revision","10/09/2013"
"CLIMARA (NDA #020375)","028","ESTRADIOL","BAYER HLTHCARE","Labeling Revision","10/10/2013"
"AVAPRO (NDA #020757)","063","IRBESARTAN","SANOFI AVENTIS US","Manufacturing Change or Addition","10/10/2013"
"CHLORAPREP ONE-STEP (NDA #020832)","031","CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL","CAREFUSION","Labeling Revision","10/10/2013"
"CHLORAPREP ONE-STEP FREPP (NDA #020832)","031","CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL","CAREFUSION","Labeling Revision","10/10/2013"
"CHLORAPREP WITH TINT (NDA #020832)","031","CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL","CAREFUSION","Labeling Revision","10/10/2013"
"AGGRASTAT (NDA #020912)","019","TIROFIBAN HYDROCHLORIDE","MEDICURE","Efficacy Supplement with Clinical Data to Support","10/10/2013"
"AGGRASTAT (NDA #020912)","020","TIROFIBAN HYDROCHLORIDE","MEDICURE","Labeling Revision","10/10/2013"
"TEMODAR (NDA #021029)","025","TEMOZOLOMIDE","MERCK SHARP DOHME","Manufacturing Change or Addition","10/10/2013"
"RISPERDAL CONSTA (NDA #021346)","047","RISPERIDONE","JANSSEN PHARMS","Manufacturing Change or Addition","10/10/2013"
"CIALIS (NDA #021368)","022","TADALAFIL","LILLY","Efficacy Supplement with Clinical Data to Support","10/10/2013"
"CHLORAPREP ONE-STEP SEPP (NDA #021555)","018","CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL","CAREFUSION","Labeling Revision","10/10/2013"
"CHLORAPREP SINGLE SWABSTICK (NDA #021555)","018","CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL","CAREFUSION","Labeling Revision","10/10/2013"
"CHLORAPREP TRIPLE SWABSTICK (NDA #021555)","018","CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL","CAREFUSION","Labeling Revision","10/10/2013"
"ADRIAMYCIN RDF (NDA #050467)","074","DOXORUBICIN HYDROCHLORIDE","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","10/10/2013"
"ADRIAMYCIN PFS (NDA #050629)","023","DOXORUBICIN HYDROCHLORIDE","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","10/10/2013"
"TOBRAMYCIN (ANDA #091589)","000","TOBRAMYCIN","TEVA PHARMS USA","Approval","10/10/2013"
"KRYSTEXXA (BLA #125293)","060","PEGLOTICASE","SAVIENT PHARMS","Labeling Revision","10/10/2013"
"ZIPRASIDONE HYDROCHLORIDE (ANDA #202395)","000","ZIPRASIDONE HYDROCHLORIDE","MYLAN PHARMS INC","Approval","10/10/2013"
"DEPO-MEDROL (NDA #011757)","098","METHYLPREDNISOLONE ACETATE","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","10/11/2013"
"NICORETTE (NDA #018612)","069","NICOTINE POLACRILEX","GLAXOSMITHKLINE","Manufacturing Change or Addition","10/11/2013"
"NICORETTE (MINT) (NDA #018612)","069","NICOTINE POLACRILEX","GLAXOSMITHKLINE","Manufacturing Change or Addition","10/11/2013"
"NASACORT ALLERGY 24 HOUR (NDA #020468)","035","TRIAMCINOLONE ACETONIDE","SANOFI AVENTIS US","OTC Labeling","10/11/2013"
"ZONEGRAN (NDA #020789)","032","ZONISAMIDE","EISAI INC","Manufacturing Change or Addition","10/11/2013"
"COMTAN (NDA #020796)","022","ENTACAPONE","ORION PHARMA","Manufacturing Change or Addition","10/11/2013"
"FROVA (NDA #021006)","019","FROVATRIPTAN SUCCINATE","ENDO PHARMS","Labeling Revision","10/11/2013"
"SOMAVERT (NDA #021106)","043","PEGVISOMANT","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","10/11/2013"
"VIMPAT (NDA #022253)","025","LACOSAMIDE","UCB INC","Manufacturing Change or Addition","10/11/2013"
"MONODOX (NDA #050641)","027","DOXYCYCLINE","AQUA PHARMS","Labeling Revision","10/11/2013"
"ZMAX (NDA #050797)","013","AZITHROMYCIN","PF PRISM CV","Labeling Revision","10/11/2013"
"PENICILLIN V POTASSIUM (ANDA #090549)","000","PENICILLIN V POTASSIUM","HIKMA PHARMS","Approval","10/11/2013"
"ENTECAVIR (ANDA #202122)","000","ENTECAVIR","TEVA PHARMS USA","Tentative Approval","10/11/2013"
"BUPROPION HYDROCHLORIDE (ANDA #202774)","000","BUPROPION HYDROCHLORIDE","JUBILANT LIFE","Approval","10/11/2013"
"BUPROPION HYDROCHLORIDE (ANDA #202775)","000","BUPROPION HYDROCHLORIDE","JUBILANT LIFE","Approval","10/11/2013"
"ACYCLOVIR SODIUM (ANDA #203701)","000","ACYCLOVIR SODIUM","AUROBINDO PHARMA LTD","Approval","10/11/2013"
"OTREXUP (NDA #204824)","000","METHOTREXATE","ANTARES PHARMA INC","Approval","10/11/2013"
"DESVENLAFAXINE (NDA #205208)","000","DESVENLAFAXINE FUMARATE","TEVA PHARMS USA","Approval","10/11/2013"
"CIPRO IN DEXTROSE 5% IN PLASTIC CONTAINER (NDA #019857)","061","CIPROFLOXACIN","BAYER HLTHCARE","Manufacturing Change or Addition","10/14/2013"
"NORDITROPIN (NDA #021148)","039","SOMATROPIN RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/14/2013"
"NORDITROPIN FLEXPRO (NDA #021148)","039","SOMATROPIN RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/14/2013"
"NORDITROPIN NORDIFLEX (NDA #021148)","039","SOMATROPIN RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/14/2013"
"MICRONASE (NDA #017498)","031","GLYBURIDE","PHARMACIA AND UPJOHN","Labeling Revision","10/15/2013"
"DIABETA (NDA #017532)","034","GLYBURIDE","SANOFI AVENTIS US","Labeling Revision","10/15/2013"
"GLUCOTROL (NDA #017783)","025","GLIPIZIDE","PFIZER","Labeling Revision","10/15/2013"
"ADAGEN (NDA #019818)","048","PEGADEMASE BOVINE","SIGMA TAU","Manufacturing Change or Addition","10/15/2013"
"GLYNASE (NDA #020051)","020","GLYBURIDE","PHARMACIA AND UPJOHN","Labeling Revision","10/15/2013"
"FRAGMIN (NDA #020287)","060","DALTEPARIN SODIUM","EISAI INC","Labeling Revision","10/15/2013"
"GLUCOTROL XL (NDA #020329)","028","GLIPIZIDE","PFIZER","Labeling Revision","10/15/2013"
"AMARYL (NDA #020496)","027","GLIMEPIRIDE","SANOFI AVENTIS US","Labeling Revision","10/15/2013"
"ZOLOFT (NDA #020990)","042","SERTRALINE HYDROCHLORIDE","PFIZER","Manufacturing Change or Addition","10/15/2013"
"GLUCOVANCE (NDA #021178)","015","GLYBURIDE; METFORMIN HYDROCHLORIDE","BRISTOL MYERS SQUIBB","Labeling Revision","10/15/2013"
"METAGLIP (NDA #021460)","010","GLIPIZIDE; METFORMIN HYDROCHLORIDE","BRISTOL MYERS SQUIBB","Labeling Revision","10/15/2013"
"PROCHLORPERAZINE EDISYLATE (ANDA #204147)","000","PROCHLORPERAZINE EDISYLATE","EMCURE PHARMS LTD","Approval","10/15/2013"
"AMERGE (NDA #020763)","001","NARATRIPTAN HYDROCHLORIDE","GLAXOSMITHKLINE LLC","Labeling Revision","10/16/2013"
"AMERGE (NDA #020763)","002","NARATRIPTAN HYDROCHLORIDE","GLAXOSMITHKLINE LLC","Labeling Revision","10/16/2013"
"AMERGE (NDA #020763)","010","NARATRIPTAN HYDROCHLORIDE","GLAXOSMITHKLINE LLC","Labeling Revision","10/16/2013"
"XENICAL (NDA #020766)","033","ORLISTAT","HOFFMANN LA ROCHE","Labeling Revision","10/16/2013"
"SYNERA (NDA #021623)","021","LIDOCAINE; TETRACAINE","GALEN SPECIALTY","Manufacturing Change or Addition","10/16/2013"
"GONAL-F RFF REDI-JECT (NDA #021684)","036","FOLLITROPIN ALFA/BETA","EMD SERONO","Manufacturing Change or Addition","10/16/2013"
"EOVIST (NDA #022090)","008","GADOXETATE DISODIUM","BAYER HLTHCARE","Labeling Revision","10/16/2013"
"EFFIENT (NDA #022307)","008","PRASUGREL HYDROCHLORIDE","ELI LILLY AND CO","Efficacy Supplement with Clinical Data to Support","10/16/2013"
"LIVALO (NDA #022363)","012","PITAVASTATIN CALCIUM","KOWA CO","Labeling Revision","10/16/2013"
"STRIBILD (NDA #203100)","007","COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE","GILEAD SCIENCES INC","Manufacturing Change or Addition","10/16/2013"
"MAGNEVIST (NDA #019596)","056","GADOPENTETATE DIMEGLUMINE","BAYER HLTHCARE","Labeling Revision","10/17/2013"
"GENOTROPIN (NDA #020280)","075","SOMATROPIN RECOMBINANT","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","10/17/2013"
"GENOTROPIN PRESERVATIVE FREE (NDA #020280)","075","SOMATROPIN RECOMBINANT","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","10/17/2013"
"LANOXIN (NDA #020405)","007","DIGOXIN","COVIS PHARMA","Labeling Revision","10/17/2013"
"MAGNEVIST (NDA #021037)","029","GADOPENTETATE DIMEGLUMINE","BAYER HLTHCARE","Labeling Revision","10/17/2013"
"ZEMPLAR (NDA #021606)","013","PARICALCITOL","ABBVIE","Manufacturing Change or Addition","10/17/2013"
"JANUVIA (NDA #021995)","028","SITAGLIPTIN PHOSPHATE","MERCK SHARP DOHME","Manufacturing Change or Addition","10/17/2013"
"PRANDIMET (NDA #022386)","009","METFORMIN HYDROCHLORIDE; REPAGLINIDE","NOVO NORDISK INC","Manufacturing Change or Addition","10/17/2013"
"PRANDIMET (NDA #022386)","011","METFORMIN HYDROCHLORIDE; REPAGLINIDE","NOVO NORDISK INC","Manufacturing Change or Addition","10/17/2013"
"QSYMIA (NDA #022580)","007","PHENTERMINE HYDROCHLORIDE; TOPIRAMATE","VIVUS","Manufacturing Change or Addition","10/17/2013"
"ACARBOSE (ANDA #091343)","000","ACARBOSE","VIRTUS PHARM","Approval","10/17/2013"
"CIMZIA (BLA #125160)","215","CERTOLIZUMAB PEGOL","UCB INC","Efficacy Supplement with Clinical Data to Support","10/17/2013"
"LAMOTRIGINE (ANDA #200672)","000","LAMOTRIGINE","ACTAVIS ELIZABETH","Approval","10/17/2013"
"GADAVIST (NDA #201277)","003","GADOBUTROL","BAYER HLTHCARE","Labeling Revision","10/17/2013"
"JANUMET XR (NDA #202270)","005","METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE","MERCK SHARP DOHME","Manufacturing Change or Addition","10/17/2013"
"KAZANO (NDA #203414)","001","ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE","TAKEDA PHARMS USA","Manufacturing Change or Addition","10/17/2013"
"BICNU (NDA #017422)","046","CARMUSTINE","EMCURE PHARMS LTD","Labeling Revision","10/18/2013"
"ASACOL (NDA #019651)","024","MESALAMINE","WARNER CHILCOTT LLC","Efficacy Supplement with Clinical Data to Support","10/18/2013"
"CLARITIN-D (NDA #019670)","031","LORATADINE; PSEUDOEPHEDRINE SULFATE","SCHERING PLOUGH","Manufacturing Change or Addition","10/18/2013"
"FIORICET W/ CODEINE (NDA #020232)","036","ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE","WATSON LABS INC","Labeling Revision","10/18/2013"
"INFASURF PRESERVATIVE FREE (NDA #020521)","026","CALFACTANT","ONY","Manufacturing Change or Addition","10/18/2013"
"DUONEB (NDA #020950)","038","ALBUTEROL SULFATE; IPRATROPIUM BROMIDE","MYLAN SPECLT","Manufacturing Change or Addition","10/18/2013"
"LANTUS (NDA #021081)","057","INSULIN GLARGINE RECOMBINANT","SANOFI AVENTIS US","Efficacy Supplement with Clinical Data to Support","10/18/2013"
"LANTUS SOLOSTAR (NDA #021081)","057","INSULIN GLARGINE RECOMBINANT","SANOFI AVENTIS US","Efficacy Supplement with Clinical Data to Support","10/18/2013"
"TRI-LUMA (NDA #021112)","008","FLUOCINOLONE ACETONIDE; HYDROQUINONE; TRETINOIN","GALDERMA LABS LP","Manufacturing Change or Addition","10/18/2013"
"ULTRACET (NDA #021123)","008","ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE","JANSSEN PHARMS","Labeling Revision","10/18/2013"
"DIOVAN (NDA #021283)","040","VALSARTAN","NOVARTIS","Manufacturing Change or Addition","10/18/2013"
"ANTARA (MICRONIZED) (NDA #021695)","009","FENOFIBRATE","LUPIN ATLANTIS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL B22GK 2/0 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL B22GK 2/2.5 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL B22GK 4/0 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL B22GK 4/2.5 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL BGK 0/2.5 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL BGK 2/0 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL BGK 2/3.5 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL BGK 4/0 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL BGK 4/0/1.2 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL BGK 4/2.5 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL BGK 4/3.5 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL BK 0/0 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL BK 0/0/1.2 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL BK 0/3.5 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"PRISMASOL BK 4/2.5 IN PLASTIC CONTAINER (NDA #021703)","011","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","10/18/2013"
"ALLEGRA-D 24 HOUR ALLERGY AND CONGESTION (NDA #021704)","015","FEXOFENADINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE","SANOFI AVENTIS US","Manufacturing Change or Addition","10/18/2013"
"ENTEREG (NDA #021775)","010","ALVIMOPAN","CUBIST PHARMS","Efficacy Supplement with Clinical Data to Support","10/18/2013"
"ASACOL HD (NDA #021830)","006","MESALAMINE","WARNER CHILCOTT LLC","Efficacy Supplement with Clinical Data to Support","10/18/2013"
"TYKERB (NDA #022059)","016","LAPATINIB DITOSYLATE","SMITHKLINE BEECHAM","Efficacy Supplement with Clinical Data to Support","10/18/2013"
"TYKERB (NDA #022059)","017","LAPATINIB DITOSYLATE","SMITHKLINE BEECHAM","Efficacy Supplement with Clinical Data to Support","10/18/2013"
"OFIRMEV (NDA #022450)","005","ACETAMINOPHEN","CADENCE PHARMS","Labeling Revision","10/18/2013"
"OFIRMEV (NDA #022450)","006","ACETAMINOPHEN","CADENCE PHARMS","Labeling Revision","10/18/2013"
"PRADAXA (NDA #022512)","019","DABIGATRAN ETEXILATE MESYLATE","BOEHRINGER INGELHEIM","Manufacturing Change or Addition","10/18/2013"
"PROCYSBI (NDA #203389)","002","CYSTEAMINE BITARTRATE","RAPTOR PHARMS","Manufacturing Change or Addition","10/18/2013"
"OPSUMIT (NDA #204410)","000","MACITENTAN","ACTELION PHARMS LTD","Approval","10/18/2013"
"LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE; NEVIRAPINE (NDA #204505)","000","LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE; NEVIRAPINE","AUROBINDO PHARMA LTD","Tentative Approval","10/18/2013"
"ZORVOLEX (NDA #204592)","000","DICLOFENAC","IROKO PHARMS LLC","Approval","10/18/2013"
"ZYPREXA (NDA #020592)","065","OLANZAPINE","LILLY","Manufacturing Change or Addition","10/21/2013"
"PENNSAID (NDA #020947)","008","DICLOFENAC SODIUM","MALLINCKRODT","Labeling Revision","10/21/2013"
"EXJADE (NDA #021882)","019","DEFERASIROX","NOVARTIS","Labeling Revision","10/21/2013"
"SOLODYN (NDA #050808)","023","MINOCYCLINE HYDROCHLORIDE","MEDICIS","Labeling Revision","10/21/2013"
"ACTEMRA (BLA #125276)","092","TOCILIZUMAB","GENENTECH","Labeling Revision","10/21/2013"
"ACTEMRA (BLA #125472)","000","TOCILIZUMAB","GENENTECH","Approval","10/21/2013"
"RALOXIFENE HYDROCHLORIDE (ANDA #200825)","000","RALOXIFENE HYDROCHLORIDE","WATSON LABS INC","Tentative Approval","10/21/2013"
"DARUNAVIR (ANDA #202136)","000","DARUNAVIR","MYLAN PHARMS INC","Tentative Approval","10/21/2013"
"AMLODIPINE BESYLATE (ANDA #203245)","000","AMLODIPINE BESYLATE","UNICHEM LABS LTD","Approval","10/21/2013"
"VALIUM (NDA #013263)","092","DIAZEPAM","ROCHE","Labeling Revision","10/22/2013"
"FRAGMIN (NDA #020287)","061","DALTEPARIN SODIUM","EISAI INC","Manufacturing Change or Addition","10/22/2013"
"CEREBYX (NDA #020450)","024","FOSPHENYTOIN SODIUM","PARKE DAVIS","Labeling Revision","10/22/2013"
"RISPERDAL CONSTA (NDA #021346)","050","RISPERIDONE","JANSSEN PHARMS","Manufacturing Change or Addition","10/22/2013"
"MIRALAX (NDA #022015)","017","POLYETHYLENE GLYCOL 3350","SCHERING PLOUGH","Manufacturing Change or Addition","10/22/2013"
"DELZICOL (NDA #204412)","002","MESALAMINE","WARNER CHILCOTT LLC","Manufacturing Change or Addition","10/22/2013"
"LOVENOX (NDA #020164)","102","ENOXAPARIN SODIUM","SANOFI AVENTIS US","Labeling Revision","10/23/2013"
"LOVENOX (PRESERVATIVE FREE) (NDA #020164)","102","ENOXAPARIN SODIUM","SANOFI AVENTIS US","Labeling Revision","10/23/2013"
"LAMISIL (NDA #020539)","024","TERBINAFINE HYDROCHLORIDE","NOVARTIS","Labeling Revision","10/23/2013"
"SUBOXONE (NDA #020733)","012","BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE","RECKITT BENCKISER","Manufacturing Change or Addition","10/23/2013"
"ZYRTEC-D 12 HOUR (NDA #021150)","010","CETIRIZINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE","MCNEIL","Manufacturing Change or Addition","10/23/2013"
"VIREAD (NDA #021356)","048","TENOFOVIR DISOPROXIL FUMARATE","GILEAD SCIENCES INC","Labeling Revision","10/23/2013"
"TRUVADA (NDA #021752)","042","EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE","GILEAD","Labeling Revision","10/23/2013"
